Category;Base Year 2019;2022;2023;Change 2023/2022 (%);Target 2025;Change 2023/Base Year (%)
Energy consumption and mix;NaN;NaN;NaN;NaN;NaN;NaN
Total energy consumption related to own operations (MWh);332,604;248,232;223,638;-10%;-10%;-33%
Total fossil energy consumption (MWh);208,396;110,451;94,903;-14%;NaN;54%
Share of fossil sources in total energy consumption (%);63%;44%;42%;-5%;NaN;-32%
Total consumption from nuclear sources (MWh);12,999;1,835;2,536;38%;NaN;-80%
Share of consumption from nuclear sources in total energy consumption (%);4%;1%;1%;53%;NaN;-71%
Total renewable energy consumption (MWh);111,209;135,946;126,199;-1%;NaN;13%
Fuel consumption for renewable sources, including biomass (MWh);0;6,546;4,558;-30%;NaN;NaN
Consumption of purchased or acquired electricity, heat, steam and cooling from renewable sources (MWh);111,209;128,643;120,873;-6%;NaN;9%
The consumption of self-generated non-fuel renewable energy (MWh);0;757;769;2%;NaN;NaN
Share of renewable sources in total energy consumption (%);33%;55%;56%;3%;NaN;69%
Total electricity consumption related to own operations (MWh);248,277;188,985;174,170;-8%;NaN;-30%
Electricity consumption: data centers (MWh);48,382;45,329;42,433;-6%;NaN;-12%
Share of renewable electricity (%);45%;60%;63%;5%;100%;40%
Energy intensity based per revenue (MWh/€ Million);3.2;24;2.2;-11%;NaN;-32%
Electricity consumption: terminals (MWh);15,379;14,522;13,253;-9%;NaN;-14%
Transportation Business travelling: train and airplane (Thousands of km);350,742;124,483;206,246;66%;NaN;-41%
Company’s cars (Thousands of km);208,516;152,446;160,245;5%;NaN;-23%
Employee commuting: round trip from home to office (Thousands of km);976,840;1,241,792;889,218;-28%;-9%;NaN
Other Environmental Indicators - Paper;NaN;NaN;NaN;NaN;NaN;NaN
Office paper consumption (T);1,344;470;521;11%;NaN;-61%
Share of recycled and/or sustainably managed paper: office (%);62%;64%;67%;4%;NaN;7%
Marketing and distribution paper consumption (T);6,351;5,355;4,628;-14%;NaN;-27%
Share of recycled and/or sustainably managed paper: marketing and distribution (%);74%;72%;61%;-15%;NaN;-17%
Share of recycled and/or sustainably managed paper: total (%);72%;71%;62%;-13%;NaN;-14%
Office and marketing & distribution paper consumption per FTE (kg/FTE);63.4;49.0;42.4;-13%;-20%;-33%
Water;NaN;NaN;NaN;NaN;NaN;NaN
Water consumption (m³);842,729;447,929;478,881;1%;NaN;-43%
Water consumption per person (m³/FTE);6.9;3.8;3.9;5%;-10%;-43%
Waste;NaN;NaN;NaN;NaN;NaN;NaN
Total waste (T);7,129;5,070;4,350;-14%;NaN;-39%
Unsorted waste (T);4,681;2,757;1,955;-29%;NaN;-58%
Unsorted waste per person (kg/FTE);38.6;23.2;16.1;-31%;-10%;-58%
Share of waste recycled total sorted/total waste (%);34%;46%;55%;21%;NaN;60%
