Country;2023;2022;2021;Change;Percentage Change
Italy;5.71;3.40;3.59;2.31;67.9
Russia;6.16;17.20;30.21;(11.04);(64.2)
Algeria (including LNG);12.06;11.86;10.12;0.20;17
Libya;2.52;2.62;3.18;(0.10);(3.8)
Netherlands;1.62;1.39;1.41;0.23;16.5
Norway;6.49;6.75;7.52;(0.26);(3.9)
United Kingdom;1.42;1.91;2.65;(0.49);(25.7)
Indonesia (LNG);1.56;1.36;1.81;0.20;147
Qatar (LNG);2.91;2.56;2.30;0.35;13.7
Other supplies of natural gas;5.89;8.11;2.39;(2.22);(27.4)
Other supplies of LNG;3.71;3.43;5.80;0.28;8.2
OUTSIDE ITALY;44.34;57.19;67.39;(12.85);(22.5)
TOTAL SUPPLIES OF ENI'S CONSOLIDATED SUBSIDIARIES;50.05;60.59;70.98;(10.54);(17.4)
Offtake from (input to) storage;0.54;0.00;(0.86);0.54;NaN
Network losses, measurement differences and other changes;(0.08);(0.07);(0.04);(0.01);(14.3)
AVAILABLE FOR SALE BY ENI'S CONSOLIDATED SUBSIDIARIES;50.51;60.52;70.08;(10.01);(16.5)
Available for sale by Eni’s affiliates;0.00;0.00;0.37;0.00;NaN
TOTAL AVAILABLE FOR SALE;50.51;60.52;70.45;(10.01);(16.5)
